"REPORTABLE_DOMAIN","NWEIGHT","MONEYPY","NHSLDMEM","BEDROOMS","UR","KOWNRENT","HDD65","KWH","CUFEETNG","GALLONLP","GALLONFO","GALLONKER","BTUWOOD","TOTALBTU"
27,12789.88041,15,2,3,"U",2,5286,9541,552,0,0,0,40000,89134
27,13851.28453,5,3,4,"U",1,4800,12618,0,0,0,0,0,43053
27,5438.698226,24,2,2,"U",1,11615,6760,783,0,0,0,20000,103323
27,16624.03137,7,3,1,"R",2,5557,6122,0,0,0,0,0,20888
27,7951.521036,17,3,2,"U",2,12,4093,184,0,0,0,0,32825
27,6059.496584,10,2,4,"U",1,21,6715,0,0,0,0,0,22912
27,10512.33274,17,3,5,"U",1,5559,46958,0,82,0,0,20000,167707
27,8640.827417,9,2,2,"U",1,5031,13133,0,0,0,0,0,44810
27,13181.1769,8,2,2,"U",2,5098,7154,410,0,0,0,0,66434
27,12789.87939,22,5,4,"U",1,4713,4685,1078,0,0,0,0,126480
27,9401.190528,24,3,3,"R",1,5226,32688,0,289,0,0,0,137951
27,14531.59256,10,5,3,"U",2,6049,23582,0,0,0,0,0,80462
27,10588.35991,20,2,3,"U",1,4647,9141,579,0,0,0,0,90537
27,9263.26711,7,3,3,"U",1,5052,12211,0,0,0,0,0,41664
27,10423.07576,24,7,5,"U",1,4918,18241,747,0,0,0,0,138806
27,10512.33176,23,3,3,"R",1,5578,16164,0,349,0,0,0,87026
27,12206.23054,6,1,3,"U",1,5517,14087,0,0,0,0,0,48065
27,10423.07517,24,4,3,"U",1,4776,13197,839,0,0,0,0,131026
27,12789.88236,23,2,4,"U",1,3799,14853,548,0,0,0,0,106848
27,7951.521851,14,3,2,"U",2,761,5802,0,0,0,0,0,19796
27,10444.76567,13,1,3,"U",1,4531,7204,0,0,518,0,10000,96421
27,11702.79596,11,3,2,"U",2,5067,11375,277,0,0,0,0,67205
27,8236.299709,24,6,4,"U",1,6290,21095,0,0,0,0,0,71976
27,7136.881787,24,2,6,"U",1,9772,13199,3298,0,0,0,0,383080
27,10033.16049,11,1,2,"U",1,4940,9483,0,0,0,0,0,32356
27,9131.568004,8,3,2,"U",2,6343,12670,776,0,0,0,0,122770
27,12367.40845,16,1,NA,"U",1,4760,8313,0,0,0,0,0,28364
27,5211.538743,24,3,3,"U",1,4878,11136,1124,0,0,0,0,153206
27,9263.263781,7,7,4,"U",1,5002,19387,0,0,0,0,0,66148
27,9263.266127,8,2,3,"R",1,7660,20723,0,0,0,0,0,70707
27,10270.81022,11,1,5,"U",2,209,4430,0,0,0,0,0,15115
27,10460.34694,1,1,NA,"U",2,88,3553,0,0,0,0,0,12123
27,13757.85585,16,1,2,"U",2,4833,13145,0,0,0,0,0,44851
27,7136.881787,22,2,4,"U",1,9867,7421,2589,0,0,0,0,290693
27,13757.85585,13,1,2,"U",2,4836,6823,0,0,0,0,0,23280
27,11655.00077,24,5,4,"R",1,4769,9197,1011,0,0,0,10000,135008
27,5325.570923,6,5,2,"U",2,4817,7062,0,0,0,0,0,24096
27,7025.050976,19,1,2,"U",2,9774,8229,656,0,0,0,0,95317
27,9131.565951,16,2,2,"U",1,4815,7542,202,0,0,0,0,46438
27,9918.820526,16,2,2,"U",2,4948,7531,355,0,0,0,0,62084
27,12789.88281,23,2,3,"U",1,5134,9885,675,0,0,0,10000,102916
27,8236.298534,11,2,4,"U",1,5141,33819,0,0,0,0,10000,115390
27,11654.99928,24,3,3,"U",1,4616,19912,1103,0,0,0,0,180998
