"","cx","cy","REPORTABLE_DOMAIN","NWEIGHT","MONEYPY","NHSLDMEM","BEDROOMS","UR","KOWNRENT","HDD65","KWH","CUFEETNG","GALLONLP","GALLONFO","GALLONKER","BTUWOOD","wKWH"
"6236",431.04,16.6102696068578,27,10512.33176,23,3,3,"R",1,5578,16164,0,349,0,0,0,169921330.56864
"6261",375.653333333333,-38.4481525212228,27,12206.23054,6,1,3,"U",1,5517,14087,0,0,0,0,0,171949169.61698
"6264",351.92,67.7444590183854,27,10423.07517,24,4,3,"U",1,4776,13197,839,0,0,0,0,137553323.01849
"6297",396.08,51.9472228566826,27,12789.88236,23,2,4,"U",1,3799,14853,548,0,0,0,0,189968122.69308
"6317",154.72,-21.9475209811253,27,7951.521851,14,3,2,"U",2,761,5802,0,0,0,0,0,46134729.779502
"6354",192.106666666667,20.7398451266901,27,10444.76567,13,1,3,"U",1,4531,7204,0,0,518,0,10000,75244091.88668
"6392",303.333333333333,43.831403093852,27,11702.79596,11,3,2,"U",2,5067,11375,277,0,0,0,0,133119304.045
"6438",562.533333333333,41.3940774766947,27,8236.299709,24,6,4,"U",1,6290,21095,0,0,0,0,0,173744742.361355
"6466",351.973333333333,-6.73815360254944,27,7136.881787,24,2,6,"U",1,9772,13199,3298,0,0,0,0,94199702.706613
"6514",252.88,1.25152772382612,27,10033.16049,11,1,2,"U",1,4940,9483,0,0,0,0,0,95144460.92667
"6554",337.866666666667,35.3131541896323,27,9131.568004,8,3,2,"U",2,6343,12670,776,0,0,0,0,115696966.61068
"6559",221.68,-45.6544853586218,27,12367.40845,16,1,NA,"U",1,4760,8313,0,0,0,0,0,102810266.44485
"6620",296.96,-29.3431736689889,27,5211.538743,24,3,3,"U",1,4878,11136,1124,0,0,0,0,58035695.442048
"6621",516.986666666667,47.3666732626746,27,9263.263781,7,7,4,"U",1,5002,19387,0,0,0,0,0,179586894.922247
"6652",552.613333333333,-29.6938790965368,27,9263.266127,8,2,3,"R",1,7660,20723,0,0,0,0,0,191962663.949821
"6668",118.133333333333,-25.2574481329379,27,10270.81022,11,1,5,"U",2,209,4430,0,0,0,0,0,45499689.2746
"6677",94.7466666666667,-7.46514994394754,27,10460.34694,1,1,NA,"U",2,88,3553,0,0,0,0,0,37165612.67782
"6684",350.533333333333,-9.75447408744102,27,13757.85585,16,1,2,"U",2,4833,13145,0,0,0,0,0,180847015.14825
"6758",197.893333333333,-23.7767752295156,27,7136.881787,22,2,4,"U",1,9867,7421,2589,0,0,0,0,52962799.741327
"6810",181.946666666667,-38.7542904546447,27,13757.85585,13,1,2,"U",2,4836,6823,0,0,0,0,0,93869850.46455
"6820",245.253333333333,-31.1854857353464,27,11655.00077,24,5,4,"R",1,4769,9197,1011,0,0,0,10000,107191042.08169
"6826",188.32,-7.621463698277,27,5325.570923,6,5,2,"U",2,4817,7062,0,0,0,0,0,37609181.858226
"6874",219.44,48.6267371493691,27,7025.050976,19,1,2,"U",2,9774,8229,656,0,0,0,0,57809144.481504
"6911",201.12,39.7646105647593,27,9131.565951,16,2,2,"U",1,4815,7542,202,0,0,0,0,68870270.402442
"6938",200.826666666667,37.5977662298895,27,9918.820526,16,2,2,"U",2,4948,7531,355,0,0,0,0,74698637.381306
"6970",263.6,39.3318487584831,27,12789.88281,23,2,3,"U",1,5134,9885,675,0,0,0,10000,126427991.57685
"7004",800,16.5264954672394,27,8236.298534,11,2,4,"U",1,5141,33819,0,0,0,0,10000,278543380.121346
"7012",530.986666666667,66.0435208047805,27,11654.99928,24,3,3,"U",1,4616,19912,1103,0,0,0,0,232074345.66336
"7016",229.573333333333,-19.3210567714306,27,3815.110532,15,3,3,"U",1,39,8609,0,0,0,0,0,32844286.569988
"7025",148.16,-7.12895880329074,27,8995.312865,24,2,3,"U",1,4602,5556,125,0,0,0,40000,49977958.27794
"7076",619.893333333333,-1.8680117880526,27,9263.264735,1,2,3,"R",1,5698,23246,0,0,0,0,40000,215333852.02981
"7079",188.506666666667,65.1729409112553,27,6276.513659,4,3,2,"U",2,5220,7069,0,0,0,0,0,44368675.055471
"7125",240.693333333333,11.3974029145165,27,8854.896149,9,2,3,"U",1,4857,9026,0,0,337,0,0,79924292.640874
"7153",217.2,21.8845475279719,27,9131.565906,17,2,3,"R",1,5755,8145,918,0,0,0,0,74376604.30437
"7192",584.533333333333,13.3445564611472,27,8236.297817,11,5,3,"R",1,6021,21920,0,0,0,0,0,180539648.14864
"7262",307.173333333333,3.505059155338,27,13676.76073,13,1,3,"U",1,4638,11519,653,0,0,0,0,157542606.84887
"7274",257.04,9.25178922039165,27,10588.35991,9,4,3,"U",1,4610,9639,443,0,0,0,0,102061201.17249
"7333",106.826666666667,-10.288074642014,27,9008.73187,9,3,1,"U",2,16,4006,0,0,0,0,0,36088979.87122
"7348",125.413333333333,23.4268644988243,27,10207.56162,13,1,2,"U",2,5311,4703,61,0,0,0,0,48006162.29886
