"","cx","cy","MONEYPY","BEDROOMS","UR","KOWNRENT","wKWH","NWEIGHT","income_group_level"
"53",148.826666666667,22.7924265414476,"$10,000 to $14,999",2,"Urban","Owned",5581,10602.97416,"5"
"54",265.060159575447,-19.127591174546,"$100,000 to $119,999",2,"Urban","Owned",9939.75598407927,17852.998034,"23"
"55",174.711959324989,-7.28869807720184,"$120,000 or More",2,"Urban","Owned",6551.69847468709,30476.170018,"24"
"56",64.1866666666667,31.5317799150944,"$15,000 to $19,999",2,"Urban","Owned",2407,4927.897921,"6"
"57",331.230998487027,-40.3277494862121,"$20,000 to $24,999",2,"Urban","Owned",12421.1624432635,40988.198084,"7"
"58",469.468916191836,-0.282011017203331,"$25,000 to $29,999",2,"Urban","Owned",17605.0843571939,87249.717321,"8"
"59",320.753062393012,44.4981767312084,"$30,000 to $34,999",2,"Urban","Owned",12028.239839738,35078.468491,"9"
"60",56.24,-21.8760621744885,"$35,000 to $39,999",2,"Urban","Owned",2109,11348.1193,"10"
"61",316.002321278678,-13.8720870224721,"$40,000 to $44,999",2,"Urban","Owned",11850.0870479504,37181.101034,"11"
"62",131.349300954878,6.32070189714432,"$45,000 to $49,999",2,"Urban","Owned",4925.59878580791,34737.20692,"12"
"63",247.893333333333,-45.2160937616236,"$5,000 to $7,499",2,"Urban","Owned",9296,14052.67356,"3"
"64",561.2,16.5631023771108,"$50,000 to $54,999",2,"Urban","Owned",21045,12102.54009,"13"
"65",80.1333333333333,-27.9162572473288,"$55,000 to $59,999",2,"Urban","Owned",3005,7942.960618,"14"
"66",216.270969149412,31.0625827986151,"$60,000 to $64,999",2,"Urban","Owned",8110.16134310296,24186.086541,"15"
"67",376.007052424188,7.03926231073764,"$65,000 to $69,999",2,"Urban","Owned",14100.264465907,49424.281527,"16"
"68",306.746666666667,45.0489787799483,"$7,500 to $9,999",2,"Urban","Owned",11503,10033.16277,"4"
"69",347.232591873001,-22.5658939240411,"$70,000 to $74,999",2,"Urban","Owned",13021.2221952375,21668.475813,"17"
"70",377.04,35.9064528254628,"$85,000 to $89,999",2,"Urban","Owned",14139,7164.223489,"20"
