"","cx_low","cy_low","cx_high","cy_high","MONEYPY","BEDROOMS","UR","KOWNRENT","TaxLow","TaxHigh","NWEIGHT","income_group_level"
"52",5.13919612393868,-63.7934154069618,73.4621665637732,18.8313510864973,"$75,000 to $79,999",1,"Urban","Owned",0.7,34.99,11636.38922,"18"
"53",13.6536059354484,-36.1248627207438,195.171277615557,-44.0262387601726,"$5,000 to $7,499",2,"Urban","Owned",1.86,92.96,14052.67356,"3"
"54",16.8951623360007,-26.6467322534496,241.507659897995,56.4206709069067,"$7,500 to $9,999",2,"Urban","Owned",2.3,115.03,10033.16277,"4"
"55",14.2607551774413,-69.0271319113192,118.907670485902,-25.8122222868007,"$10,000 to $14,999",2,"Urban","Owned",1.94,56.64,10602.97416,"5"
"56",3.53530867971432,79.9940166212085,50.5354200968854,31.5317799150944,"$15,000 to $19,999",2,"Urban","Owned",0.48,24.07,4927.897921,"6"
"57",21.0796228951255,1.77096321758417,261.595408361201,-42.0506492774833,"$20,000 to $24,999",2,"Urban","Owned",2.87,124.6,40988.198084,"7"
"58",29.4866744402863,-20.7625849762416,370.659570262061,-0.877619929217417,"$25,000 to $29,999",2,"Urban","Owned",4.02,176.55,87249.717321,"8"
"59",17.6666143361492,77.400017224815,252.535169641567,35.3534450975536,"$30,000 to $34,999",2,"Urban","Owned",2.41,120.28,35078.468491,"9"
"60",6.77980260305828,-50.5547287860376,45.3315525334396,19.8956955373287,"$35,000 to $39,999",2,"Urban","Owned",0.92,21.59,11348.1193,"10"
"61",17.404950393016,67.0338630771733,248.79481809424,-37.7794266628488,"$40,000 to $44,999",2,"Urban","Owned",2.37,118.5,37181.101034,"11"
"62",305.544936694358,2.67732872254787,188.697756072876,34.2252802117686,"$45,000 to $49,999",2,"Urban","Owned",41.61,89.88,34737.20692,"12"
"63",30.9100835748184,-39.7178243243191,441.843754025323,-21.0431313388503,"$50,000 to $54,999",2,"Urban","Owned",4.21,210.45,12102.54009,"13"
"64",7.26532004196068,79.5432394789102,63.9058125977473,-27.9162572473288,"$55,000 to $59,999",2,"Urban","Owned",0.99,30.44,7942.960618,"14"
